description,cybercrime_type,law_section,law_description
Deepfake content spread on social media harming my reputation,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Received abusive messages on my social media account,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Received an email asking for my password and password,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
My identity was used to open a job account fraudulently,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Scam involving fake social media investment scheme,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Fake videos made showing me in compromising investment,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
My computer got locked with a ransom message demanding investment,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
My identity was used to open a OTP account fraudulently,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Received an email asking for my credit card and password,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
System inaccessible due to ransomware attack,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
People are spreading rumors and hateful comments on my job,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Got a fake message to update my payment details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Received an email asking for my social media and password,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Fake website took my loan but never delivered goods,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Received abusive messages on my OTP account,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Fake videos made showing me in compromising password,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Deepfake content spread on social media harming my reputation,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Unauthorized access detected on my job,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
My identity was used to open a loan account fraudulently,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
My job account was hacked and data stolen,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Threatening and insulting messages sent to me online,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Files encrypted and asked to pay email in Bitcoin,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
System inaccessible due to ransomware attack,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Repeated stalking attempts on my social media social media,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Files encrypted and asked to pay job in Bitcoin,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Fake website took my documents but never delivered goods,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
My computer got locked with a ransom message demanding investment,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Impersonated me to apply for bank account loan,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Unauthorized access detected on my credit card,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Lost money due to fraudulent documents transactions,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
My identity was used to open a email account fraudulently,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Received abusive messages on my Aadhaar account,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Threatening and insulting messages sent to me online,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Someone keeps sending me unwanted messages on OTP,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Threatening and insulting messages sent to me online,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Unauthorized access detected on my investment,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
My password account was hacked and data stolen,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Repeated stalking attempts on my credit card social media,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Fake videos made showing me in compromising photos,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Fake website took my Aadhaar but never delivered goods,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Threatening and insulting messages sent to me online,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Impersonated me to apply for investment loan,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Repeated stalking attempts on my bank account social media,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Got a fake message to update my password details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Fake videos made showing me in compromising videos,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
People are spreading rumors and hateful comments on my social media,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Received an email asking for my email and password,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
My computer got locked with a ransom message demanding Bitcoin,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Someone hacked my investment and deleted files,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Deepfake content spread on social media harming my reputation,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Suspicious link asking for bank account and photos,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Got a fake message to update my payment details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Unauthorized access detected on my email,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Threatening and insulting messages sent to me online,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Repeated stalking attempts on my OTP social media,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Files encrypted and asked to pay documents in Bitcoin,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
My computer got locked with a ransom message demanding investment,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
I'm being followed online with constant credit card notifications,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
My job account was hacked and data stolen,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Suspicious link asking for bank account and investment,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Got a fake message to update my bank account details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Files encrypted and asked to pay email in Bitcoin,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Someone created and shared deepfake clips of me,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Fake videos made showing me in compromising documents,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Someone created a fake payment account using my name,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Threatening and insulting messages sent to me online,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Got a fake message to update my loan details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Lost money due to fraudulent password transactions,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Someone created and shared deepfake clips of me,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Someone created a fake email account using my name,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Received abusive messages on my investment account,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Lost money due to fraudulent payment transactions,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Fake website took my job but never delivered goods,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Someone created and shared deepfake clips of me,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Deepfake content spread on social media harming my reputation,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Got a fake message to update my password details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Deepfake content spread on social media harming my reputation,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Someone hacked my bank account and deleted files,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
I'm being followed online with constant job notifications,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Got a fake message to update my loan details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
My credit card account was hacked and data stolen,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Received an email asking for my social media and password,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Impersonated me to apply for photos loan,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Received abusive messages on my Bitcoin account,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Deepfake content spread on social media harming my reputation,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Impersonated me to apply for job loan,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
People are spreading rumors and hateful comments on my password,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
I'm being followed online with constant photos notifications,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
System inaccessible due to ransomware attack,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Received an email asking for my social media and password,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Received an email asking for my investment and password,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Fake videos made showing me in compromising email,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Someone hacked my loan and deleted files,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
System inaccessible due to ransomware attack,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Fake videos made showing me in compromising bank account,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
My identity was used to open a OTP account fraudulently,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
My identity was used to open a OTP account fraudulently,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Threatening and insulting messages sent to me online,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Threatening and insulting messages sent to me online,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Unauthorized access detected on my payment,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Someone created and shared deepfake clips of me,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Impersonated me to apply for password loan,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Someone created a fake bank account account using my name,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
My computer got locked with a ransom message demanding Bitcoin,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Received an email asking for my email and password,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Impersonated me to apply for payment loan,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Scam involving fake job investment scheme,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Fake website took my OTP but never delivered goods,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
My identity was used to open a OTP account fraudulently,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Got a fake message to update my email details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Scam involving fake videos investment scheme,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Received abusive messages on my payment account,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
System inaccessible due to ransomware attack,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Deepfake content spread on social media harming my reputation,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Threatening and insulting messages sent to me online,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Scam involving fake credit card investment scheme,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Someone keeps sending me unwanted messages on payment,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
My identity was used to open a investment account fraudulently,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
My computer got locked with a ransom message demanding password,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Repeated stalking attempts on my loan social media,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
My identity was used to open a job account fraudulently,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Received an email asking for my videos and password,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Repeated stalking attempts on my videos social media,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
My documents account was hacked and data stolen,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Threatening and insulting messages sent to me online,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Lost money due to fraudulent social media transactions,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Files encrypted and asked to pay payment in Bitcoin,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Lost money due to fraudulent loan transactions,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Got a fake message to update my credit card details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Fake videos made showing me in compromising email,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Deepfake content spread on social media harming my reputation,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
My computer got locked with a ransom message demanding password,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Files encrypted and asked to pay Bitcoin in Bitcoin,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Fake videos made showing me in compromising email,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Someone created and shared deepfake clips of me,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
My computer got locked with a ransom message demanding email,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Fake website took my credit card but never delivered goods,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Impersonated me to apply for credit card loan,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Scam involving fake photos investment scheme,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Received abusive messages on my password account,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
People are spreading rumors and hateful comments on my loan,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Threatening and insulting messages sent to me online,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Received an email asking for my bank account and password,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Someone hacked my investment and deleted files,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
People are spreading rumors and hateful comments on my credit card,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
People are spreading rumors and hateful comments on my payment,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Someone keeps sending me unwanted messages on bank account,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
People are spreading rumors and hateful comments on my Bitcoin,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Someone created and shared deepfake clips of me,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Unauthorized access detected on my bank account,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Received abusive messages on my social media account,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Someone created a fake password account using my name,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Fake website took my photos but never delivered goods,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Received an email asking for my videos and password,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Deepfake content spread on social media harming my reputation,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Scam involving fake bank account investment scheme,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Files encrypted and asked to pay OTP in Bitcoin,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Scam involving fake investment investment scheme,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
My computer got locked with a ransom message demanding OTP,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
My Bitcoin account was hacked and data stolen,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Deepfake content spread on social media harming my reputation,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Lost money due to fraudulent job transactions,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Got a fake message to update my payment details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
My computer got locked with a ransom message demanding Bitcoin,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Fake website took my Aadhaar but never delivered goods,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Someone keeps sending me unwanted messages on OTP,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Scam involving fake Bitcoin investment scheme,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Repeated stalking attempts on my videos social media,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
I'm being followed online with constant Bitcoin notifications,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Someone created a fake investment account using my name,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Files encrypted and asked to pay loan in Bitcoin,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
System inaccessible due to ransomware attack,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Received an email asking for my loan and password,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Fake website took my credit card but never delivered goods,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
My payment account was hacked and data stolen,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Deepfake content spread on social media harming my reputation,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Files encrypted and asked to pay photos in Bitcoin,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Someone created a fake loan account using my name,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Unauthorized access detected on my photos,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Got a fake message to update my social media details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
My computer got locked with a ransom message demanding email,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Unauthorized access detected on my photos,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Suspicious link asking for bank account and Bitcoin,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Got a fake message to update my Aadhaar details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Scam involving fake documents investment scheme,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
People are spreading rumors and hateful comments on my job,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Someone keeps sending me unwanted messages on Aadhaar,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Fake videos made showing me in compromising Bitcoin,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
My OTP account was hacked and data stolen,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Received an email asking for my email and password,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
My bank account account was hacked and data stolen,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Unauthorized access detected on my bank account,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Got a fake message to update my loan details urgently,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
I'm being followed online with constant payment notifications,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Someone hacked my email and deleted files,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Someone created a fake investment account using my name,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Someone created and shared deepfake clips of me,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Fake videos made showing me in compromising OTP,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
My bank account account was hacked and data stolen,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Fake website took my Bitcoin but never delivered goods,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Received abusive messages on my email account,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
My social media account was hacked and data stolen,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Repeated stalking attempts on my photos social media,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Received an email asking for my Bitcoin and password,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Fake videos made showing me in compromising bank account,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Deepfake content spread on social media harming my reputation,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
Received an email asking for my OTP and password,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Files encrypted and asked to pay job in Bitcoin,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Impersonated me to apply for payment loan,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Unauthorized access detected on my payment,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
Impersonated me to apply for investment loan,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Someone created a fake investment account using my name,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Someone created a fake credit card account using my name,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
Repeated stalking attempts on my social media social media,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
People are spreading rumors and hateful comments on my Bitcoin,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Someone hacked my documents and deleted files,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
People are spreading rumors and hateful comments on my bank account,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Repeated stalking attempts on my loan social media,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
System inaccessible due to ransomware attack,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Fake videos made showing me in compromising job,Deepfake Harassment,Section 67/67A - IT Act,Publishing or transmitting fake or obscene content.
I'm being followed online with constant loan notifications,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Received an email asking for my bank account and password,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
Someone keeps sending me unwanted messages on social media,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Unauthorized access detected on my bank account,Hacking,Section 66 - IT Act,Hacking a computer system or digital device without permission.
People are spreading rumors and hateful comments on my investment,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
Received an email asking for my loan and password,Phishing,Section 66C - IT Act,Punishment for identity theft; using someone's credentials without authorization.
My identity was used to open a OTP account fraudulently,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
I'm being followed online with constant credit card notifications,Cyberstalking,Section 354D - IPC,Following or contacting a person repeatedly through electronic means.
Fake website took my job but never delivered goods,Online Fraud,Section 66D - IT Act,Cheating by personation using computer resources.
Impersonated me to apply for documents loan,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
My identity was used to open a OTP account fraudulently,Identity Theft,Section 66C - IT Act,Using another person's identity to gain unauthorized access or benefits.
My computer got locked with a ransom message demanding Bitcoin,Ransomware,Section 66/43 - IT Act,Unauthorized encryption of data and demanding ransom.
Threatening and insulting messages sent to me online,Cyberbullying,Section 66A/507 IPC,Sending offensive messages electronically or criminal intimidation.
